x,y
5.635853,0.012513
8.087405,1.933042
4.798730,5.850093
8.959624,3.502914
7.466048,8.228400
8.589435,1.741081
5.135350,7.105014
0.149846,3.039949
3.644520,0.914029
1.658986,1.473128
4.456923,9.885250
0.046693,1.190832
3.778802,0.089114
5.711844,5.316629
6.071658,6.017640
6.630451,1.662343
3.521226,4.507889
6.076846,0.570391
8.026063,7.833186
3.019501,5.198828
7.266762,8.759727
9.257179,9.559008
1.423383,5.393536
2.353282,4.620808
2.096011,8.622395
8.436537,7.796564
9.996948,9.967956
3.924375,6.114994
2.972808,2.662130
0.237434,8.401441
0.926237,3.758660
0.562151,6.772057
9.187902,0.087893
2.728965,2.758873
6.911832,5.879086
7.264931,8.376110
2.053591,4.849391
4.684591,7.437361
9.491562,4.579607
1.082797,7.444380
3.852351,5.990478
6.089664,7.350078
3.613392,5.724051
2.251045,1.515549
8.028810,4.251534
9.899899,5.171056
3.455611,7.515488
6.573077,1.689810
0.635395,4.918973
5.048067,6.997589
