x,y
-15.000000,225.000000
-14.997000,224.910009
-14.994000,224.820036
-14.991000,224.730081
-14.988000,224.640144
-14.985000,224.550225
-14.982000,224.460324
-14.979000,224.370441
-14.976000,224.280576
-14.973000,224.190729
-14.970000,224.100900
-14.967000,224.011089
-14.964000,223.921296
-14.961000,223.831521
-14.958000,223.741764
-14.955000,223.652025
-14.952000,223.562304
-14.949000,223.472601
-14.946000,223.382916
-14.943000,223.293249
-14.940000,223.203600
-14.937000,223.113969
-14.934000,223.024356
-14.931000,222.934761
-14.928000,222.845184
-14.925000,222.755625
-14.922000,222.666084
-14.919000,222.576561
-14.916000,222.487056
-14.913000,222.397569
-14.910000,222.308100
-14.907000,222.218649
-14.904000,222.129216
-14.901000,222.039801
-14.898000,221.950404
-14.895000,221.861025
-14.892000,221.771664
-14.889000,221.682321
-14.886000,221.592996
-14.883000,221.503689
-14.880000,221.414400
-14.877000,221.325129
-14.874000,221.235876
-14.871000,221.146641
-14.868000,221.057424
-14.865000,220.968225
-14.862000,220.879044
-14.859000,220.789881
-14.856000,220.700736
-14.853000,220.611609
-14.850000,220.522500
-14.847000,220.433409
-14.844000,220.344336
-14.841000,220.255281
-14.838000,220.166244
-14.835000,220.077225
-14.832000,219.988224
-14.829000,219.899241
-14.826000,219.810276
-14.823000,219.721329
-14.820000,219.632400
-14.817000,219.543489
-14.814000,219.454596
-14.811000,219.365721
-14.808000,219.276864
-14.805000,219.188025
-14.802000,219.099204
-14.799000,219.010401
-14.796000,218.921616
-14.793000,218.832849
-14.790000,218.744100
-14.787000,218.655369
-14.784000,218.566656
-14.781000,218.477961
-14.778000,218.389284
-14.775000,218.300625
-14.772000,218.211984
-14.769000,218.123361
-14.766000,218.034756
-14.763000,217.946169
-14.760000,217.857600
-14.757000,217.769049
-14.754000,217.680516
-14.751000,217.592001
-14.748000,217.503504
-14.745000,217.415025
-14.742000,217.326564
-14.739000,217.238121
-14.736000,217.149696
-14.733000,217.061289
-14.730000,216.972900
-14.727000,216.884529
-14.724000,216.796176
-14.721000,216.707841
-14.718000,216.619524
-14.715000,216.531225
-14.712000,216.442944
-14.709000,216.354681
-14.706000,216.266436
-14.703000,216.178209
-14.700000,216.090000
-14.697000,216.001809
-14.694000,215.913636
-14.691000,215.825481
-14.688000,215.737344
-14.685000,215.649225
-14.682000,215.561124
-14.679000,215.473041
-14.676000,215.384976
-14.673000,215.296929
-14.670000,215.208900
-14.667000,215.120889
-14.664000,215.032896
-14.661000,214.944921
-14.658000,214.856964
-14.655000,214.769025
-14.652000,214.681104
-14.649000,214.593201
-14.646000,214.505316
-14.643000,214.417449
-14.640000,214.329600
-14.637000,214.241769
-14.634000,214.153956
-14.631000,214.066161
-14.628000,213.978384
-14.625000,213.890625
-14.622000,213.802884
-14.619000,213.715161
-14.616000,213.627456
-14.613000,213.539769
-14.610000,213.452100
-14.607000,213.364449
-14.604000,213.276816
-14.601000,213.189201
-14.598000,213.101604
-14.595000,213.014025
-14.592000,212.926464
-14.589000,212.838921
-14.586000,212.751396
-14.583000,212.663889
-14.580000,212.576400
-14.577000,212.488929
-14.574000,212.401476
-14.571000,212.314041
-14.568000,212.226624
-14.565000,212.139225
-14.562000,212.051844
-14.559000,211.964481
-14.556000,211.877136
-14.553000,211.789809
-14.550000,211.702500
-14.547000,211.615209
-14.544000,211.527936
-14.541000,211.440681
-14.538000,211.353444
-14.535000,211.266225
-14.532000,211.179024
-14.529000,211.091841
-14.526000,211.004676
-14.523000,210.917529
-14.520000,210.830400
-14.517000,210.743289
-14.514000,210.656196
-14.511000,210.569121
-14.508000,210.482064
-14.505000,210.395025
-14.502000,210.308004
-14.499000,210.221001
-14.496000,210.134016
-14.493000,210.047049
-14.490000,209.960100
-14.487000,209.873169
-14.484000,209.786256
-14.481000,209.699361
-14.478000,209.612484
-14.475000,209.525625
-14.472000,209.438784
-14.469000,209.351961
-14.466000,209.265156
-14.463000,209.178369
-14.460000,209.091600
-14.457000,209.004849
-14.454000,208.918116
-14.451000,208.831401
-14.448000,208.744704
-14.445000,208.658025
-14.442000,208.571364
-14.439000,208.484721
-14.436000,208.398096
-14.433000,208.311489
-14.430000,208.224900
-14.427000,208.138329
-14.424000,208.051776
-14.421000,207.965241
-14.418000,207.878724
-14.415000,207.792225
-14.412000,207.705744
-14.409000,207.619281
-14.406000,207.532836
-14.403000,207.446409
-14.400000,207.360000
-14.397000,207.273609
-14.394000,207.187236
-14.391000,207.100881
-14.388000,207.014544
-14.385000,206.928225
-14.382000,206.841924
-14.379000,206.755641
-14.376000,206.669376
-14.373000,206.583129
-14.370000,206.496900
-14.367000,206.410689
-14.364000,206.324496
-14.361000,206.238321
-14.358000,206.152164
-14.355000,206.066025
-14.352000,205.979904
-14.349000,205.893801
-14.346000,205.807716
-14.343000,205.721649
-14.340000,205.635600
-14.337000,205.549569
-14.334000,205.463556
-14.331000,205.377561
-14.328000,205.291584
