x,y
0.000000,0.000000
0.100000,0.009983
0.200000,0.039734
0.300000,0.088656
0.400000,0.155767
0.500000,0.239713
0.600000,0.338785
0.700000,0.450952
0.800000,0.573885
0.900000,0.704994
1.000000,0.841471
1.100000,0.980328
1.200000,1.118447
1.300000,1.252626
1.400000,1.379630
1.500000,1.496242
1.600000,1.599318
1.700000,1.685830
1.800000,1.752926
1.900000,1.797970
2.000000,1.818595
2.100000,1.812740
2.200000,1.778692
2.300000,1.715122
2.400000,1.621112
2.500000,1.496180
2.600000,1.340304
2.700000,1.153926
2.800000,0.937967
2.900000,0.693823
3.000000,0.423360
3.100000,0.128900
3.200000,-0.186797
3.300000,-0.520561
3.400000,-0.868840
3.500000,-1.227741
3.600000,-1.593074
3.700000,-1.960394
3.800000,-2.325060
3.900000,-2.682288
4.000000,-3.027210
4.100000,-3.354936
4.200000,-3.660618
4.300000,-3.939514
4.400000,-4.187049
4.500000,-4.398886
4.600000,-4.570979
4.700000,-4.699639
4.800000,-4.781590
4.900000,-4.814018
5.000000,-4.794621
5.100000,-4.721655
5.200000,-4.593964
5.300000,-4.411017
5.400000,-4.172928
5.500000,-3.880472
5.600000,-3.535093
5.700000,-3.138908
5.800000,-2.694693
5.900000,-2.205872
6.000000,-1.676493
6.100000,-1.111191
6.200000,-0.515154
6.300000,0.105928
6.400000,0.745915
6.500000,1.398280
6.600000,2.056173
6.700000,2.712494
6.800000,3.359971
6.900000,3.991234
7.000000,4.598906
7.100000,5.175680
7.200000,5.714409
7.300000,6.208187
7.400000,6.650440
7.500000,7.035000
7.600000,7.356190
7.700000,7.608895
7.800000,7.788638
7.900000,7.891637
8.000000,7.914866
8.100000,7.856107
8.200000,7.713991
8.300000,7.488026
8.400000,7.178631
8.500000,6.787140
8.600000,6.315815
8.700000,5.767832
8.800000,5.147271
8.900000,4.459086
9.000000,3.709066
9.100000,2.903795
9.200000,2.050587
9.300000,1.157426
9.400000,0.232889
9.500000,-0.713936
9.600000,-1.673537
9.700000,-2.636078
9.800000,-3.591495
9.900000,-4.529605
10.000000,-5.440211
10.100000,-6.313214
10.200000,-7.138722
10.300000,-7.907164
10.400000,-8.609395
10.500000,-9.236805
10.600000,-9.781419
10.700000,-10.235995
10.800000,-10.594111
10.900000,-10.850255
11.000000,-10.999892
11.100000,-11.039534
11.200000,-10.966791
11.300000,-10.780418
11.400000,-10.480345
11.500000,-10.067700
11.600000,-9.544812
11.700000,-8.915208
11.800000,-8.183596
11.900000,-7.355832
12.000000,-6.438875
12.100000,-5.440734
12.200000,-4.370397
12.300000,-3.237751
12.400000,-2.053492
12.500000,-0.829024
12.600000,0.423650
12.700000,1.692047
12.800000,2.963326
12.900000,4.224420
13.000000,5.462171
13.100000,6.663465
13.200000,7.815370
13.300000,8.905278
13.400000,9.921037
13.500000,10.851090
13.600000,11.684601
13.700000,12.411580
13.800000,13.023000
13.900000,13.510904
14.000000,13.868503
14.100000,14.090262
14.200000,14.171978
14.300000,14.110839
14.400000,13.905472
14.500000,13.555978
14.600000,13.063951
14.700000,12.432478
14.800000,11.666131
14.900000,10.770932
15.000000,9.754318
15.100000,8.625073
15.200000,7.393260
15.300000,6.070131
15.400000,4.668023
15.500000,3.200246
15.600000,1.680957
15.700000,0.125022
15.800000,-1.452128
15.900000,-3.034651
16.000000,-4.606453
