N,E
50,0.178967
50,0.194001
50,0.209539
50,0.222638
50,0.240192
50,0.253564
50,0.242010
50,0.250017
50,0.252953
50,0.271234
50,0.279388
50,0.289740
50,0.281198
50,0.288323
50,0.299648
50,0.299559
50,0.331086
50,0.345324
50,0.361162
50,0.373080
50,0.386101
50,0.381555
51,0.375351
50,0.389343
51,0.403445
50,0.405632
49,0.355090
49,0.390183
51,0.387754
51,0.392419
50,0.382448
50,0.384500
50,0.391390
50,0.415195
50,0.438757
50,0.438287
50,0.446796
49,0.428182
50,0.451444
50,0.448981
49,0.434307
51,0.466181
49,0.409742
49,0.460520
50,0.459579
51,0.485294
51,0.471604
49,0.415606
50,0.450597
50,0.442773
50,0.459503
49,0.414041
50,0.422730
50,0.433720
50,0.436092
51,0.422996
49,0.433706
49,0.441804
49,0.464393
52,0.457946
52,0.468952
51,0.461044
51,0.500153
50,0.413205
51,0.408913
50,0.428080
51,0.442480
50,0.438246
50,0.448777
50,0.429740
51,0.431096
49,0.440713
50,0.450861
50,0.455067
50,0.466521
50,0.479704
50,0.475622
50,0.475192
50,0.499483
50,0.487410
50,0.490909
50,0.499032
50,0.492796
49,0.472138
50,0.474872
51,0.445937
49,0.453470
50,0.515102
50,0.496576
51,0.483829
50,0.470290
50,0.453867
50,0.471428
50,0.479511
50,0.470609
50,0.476952
50,0.484991
50,0.474106
49,0.412050
49,0.438319
49,0.456444
52,0.498585
51,0.464432
50,0.469218
50,0.505067
51,0.517968
51,0.509366
51,0.522303
51,0.524662
50,0.513443
50,0.514403
50,0.521417
50,0.548631
50,0.559729
50,0.569237
50,0.571910
50,0.568081
50,0.562711
50,0.559519
50,0.577818
50,0.601685
50,0.630222
50,0.650649
51,0.649389
47,0.570788
50,0.610653
50,0.583403
50,0.584952
49,0.527874
49,0.571307
51,0.551072
51,0.536550
50,0.531891
50,0.533137
49,0.479476
49,0.480445
50,0.487979
50,0.481905
49,0.448667
49,0.468847
52,0.464367
49,0.459569
50,0.484654
50,0.513562
50,0.504368
50,0.503473
50,0.496496
51,0.476897
51,0.483888
49,0.464755
51,0.496546
50,0.372673
49,0.310453
50,0.320710
50,0.305292
50,0.316525
49,0.284918
49,0.287088
49,0.286273
49,0.277109
50,0.289578
50,0.275573
50,0.279889
50,0.270105
50,0.278627
50,0.287428
50,0.292618
50,0.300387
50,0.285988
50,0.288522
50,0.289307
51,0.304135
51,0.298710
48,0.287466
49,0.300478
51,0.310446
51,0.307728
51,0.295299
51,0.301410
51,0.306866
50,0.305501
50,0.301925
50,0.316630
50,0.334527
50,0.329528
50,0.354149
50,0.368845
50,0.349523
49,0.304693
51,0.339366
51,0.305907
51,0.304506
47,0.296821
48,0.306952
50,0.302208
50,0.311603
50,0.321270
51,0.331841
50,0.333378
50,0.328628
51,0.322772
50,0.320340
49,0.305023
50,0.371913
51,0.363637
50,0.331435
50,0.359656
50,0.371901
50,0.398521
50,0.379495
50,0.386443
51,0.365965
48,0.361240
50,0.390040
50,0.386703
50,0.402093
51,0.396371
50,0.391855
50,0.409562
50,0.429567
50,0.461651
50,0.479258
49,0.470675
50,0.466383
50,0.463286
50,0.458472
49,0.431571
50,0.450229
50,0.455807
49,0.446187
49,0.461180
50,0.442390
50,0.434271
50,0.424166
50,0.430580
50,0.436653
50,0.433009
50,0.433661
50,0.441268
50,0.443080
51,0.443908
51,0.451706
51,0.463864
50,0.476413
50,0.502242
50,0.506489
50,0.524362
50,0.543685
50,0.551107
51,0.540478
51,0.548416
48,0.479584
49,0.484427
50,0.471310
50,0.459452
50,0.455461
51,0.439336
51,0.420583
49,0.426945
49,0.445995
49,0.469945
49,0.479188
51,0.503363
50,0.481169
50,0.497118
50,0.489756
50,0.503485
50,0.505599
50,0.494095
50,0.505008
49,0.411401
50,0.454984
50,0.468849
50,0.462888
50,0.465608
50,0.492789
50,0.486507
50,0.506652
51,0.487556
50,0.486218
50,0.511199
50,0.514243
50,0.532150
49,0.495486
49,0.526346
50,0.507587
50,0.508699
49,0.466313
50,0.485784
51,0.491304
49,0.441651
50,0.465152
50,0.480817
50,0.476741
50,0.468947
50,0.480306
49,0.443447
51,0.532382
49,0.445650
49,0.442399
50,0.443175
50,0.451832
50,0.449757
50,0.449778
51,0.449692
49,0.405893
49,0.403447
50,0.409758
50,0.417078
50,0.419868
50,0.419574
50,0.422099
50,0.396489
50,0.394144
50,0.398150
50,0.404827
50,0.413631
50,0.439005
50,0.453106
50,0.427425
50,0.427699
51,0.454722
50,0.456201
50,0.479799
52,0.470384
50,0.459732
50,0.500983
50,0.529853
50,0.530758
50,0.523480
50,0.552100
50,0.554408
50,0.557937
49,0.521161
49,0.552732
49,0.545958
50,0.553654
51,0.554702
50,0.491262
50,0.494421
49,0.439863
49,0.447641
49,0.472067
49,0.490315
49,0.481772
50,0.468868
50,0.464777
50,0.449688
49,0.433984
49,0.473960
50,0.516560
50,0.486900
50,0.483276
50,0.498817
50,0.502591
50,0.517597
50,0.503857
50,0.515566
48,0.502291
48,0.529315
49,0.552308
49,0.534878
50,0.556475
50,0.552903
50,0.580361
50,0.563993
50,0.593722
51,0.590772
50,0.597740
50,0.607445
49,0.575678
50,0.593821
50,0.587098
50,0.533934
50,0.573350
50,0.594447
50,0.613041
50,0.617117
49,0.610227
50,0.626971
50,0.627904
50,0.658355
50,0.662855
50,0.662472
50,0.656521
50,0.683169
50,0.662859
50,0.651434
49,0.616422
49,0.610611
50,0.614824
50,0.620752
50,0.624825
50,0.612537
50,0.607178
50,0.636962
50,0.620046
50,0.624798
50,0.639897
51,0.627029
51,0.625869
50,0.629519
50,0.626409
50,0.609736
50,0.625701
50,0.634800
50,0.635508
50,0.624850
50,0.633107
50,0.626579
49,0.615335
52,0.654871
51,0.596554
51,0.610412
48,0.629247
50,0.626189
50,0.653103
50,0.636801
50,0.665930
50,0.693034
50,0.673000
50,0.700313
50,0.690948
50,0.709143
51,0.685251
50,0.657587
51,0.684683
50,0.647351
50,0.682555
50,0.685542
50,0.680702
50,0.675483
50,0.702503
50,0.727130
49,0.664871
50,0.685918
50,0.697656
49,0.608493
53,0.660101
51,0.607069
50,0.599468
50,0.623837
50,0.629426
50,0.619873
50,0.612423
51,0.641241
50,0.651083
50,0.658207
50,0.687056
50,0.691327
50,0.674540
50,0.657106
50,0.658259
50,0.660095
50,0.668068
51,0.647866
50,0.621887
50,0.684427
50,0.669304
50,0.703648
50,0.707307
50,0.687253
50,0.702608
50,0.683614
51,0.666268
50,0.646575
51,0.658487
51,0.643937
49,0.669622
50,0.693161
50,0.716776
50,0.715864
50,0.718134
50,0.696351
49,0.618680
51,0.603114
50,0.590242
50,0.574166
50,0.587416
50,0.584876
51,0.587002
51,0.589730
51,0.605055
50,0.562203
50,0.584303
50,0.577768
50,0.602103
50,0.612442
51,0.610469
50,0.576213
50,0.623045
50,0.629279
