N,E
50,0.178967
50,0.194001
50,0.209539
50,0.222638
50,0.240192
50,0.253564
50,0.242010
50,0.250017
50,0.252953
50,0.271234
50,0.279388
50,0.289740
50,0.281198
50,0.288323
50,0.299648
50,0.299559
50,0.331086
50,0.345324
50,0.361162
50,0.373080
50,0.386101
50,0.381555
51,0.375351
51,0.375628
51,0.380654
51,0.368447
52,0.342674
52,0.362241
53,0.382797
53,0.374599
53,0.375044
53,0.381183
53,0.386541
53,0.416777
53,0.422107
52,0.401402
51,0.364553
51,0.391029
51,0.400554
52,0.404511
52,0.397248
53,0.400825
53,0.398489
53,0.376473
55,0.386211
55,0.382373
55,0.379169
55,0.404437
54,0.386716
54,0.402761
54,0.413880
55,0.399403
55,0.393098
56,0.390997
56,0.396304
56,0.405914
56,0.409744
56,0.406636
56,0.421250
56,0.428620
56,0.446910
55,0.414284
55,0.414386
55,0.380810
55,0.392375
55,0.391791
55,0.400835
56,0.419641
56,0.415207
56,0.421296
56,0.410538
56,0.417219
56,0.400580
56,0.407343
56,0.411304
56,0.431459
55,0.399846
55,0.407049
55,0.410466
54,0.382049
54,0.384077
55,0.389682
55,0.393283
55,0.402830
55,0.390547
55,0.384443
55,0.396260
55,0.403551
55,0.410254
55,0.418907
55,0.437719
55,0.447822
55,0.437954
55,0.441674
55,0.433813
54,0.419608
55,0.443452
55,0.455569
54,0.414217
54,0.450062
54,0.448545
54,0.464423
54,0.468281
54,0.471482
54,0.471954
54,0.462769
54,0.462946
54,0.462136
54,0.486675
54,0.495935
54,0.527038
54,0.536421
54,0.549928
54,0.571784
54,0.560515
53,0.527867
52,0.478015
52,0.500776
52,0.511256
52,0.517390
51,0.491815
51,0.497736
52,0.527716
52,0.534758
52,0.532946
51,0.459127
51,0.468024
51,0.479327
51,0.471448
51,0.493194
51,0.513666
51,0.530415
49,0.463712
49,0.451861
49,0.443818
49,0.450892
49,0.449252
49,0.439450
49,0.451836
50,0.450030
50,0.461806
51,0.459932
51,0.475274
51,0.470808
51,0.476482
51,0.478313
51,0.495761
51,0.511868
51,0.533254
51,0.534226
51,0.530734
51,0.528793
51,0.539471
51,0.551958
51,0.568607
51,0.568520
51,0.570875
51,0.595272
51,0.545612
51,0.548801
51,0.545929
51,0.559948
52,0.568234
52,0.549452
53,0.553704
53,0.550796
52,0.491400
52,0.501256
52,0.510566
52,0.502827
52,0.495763
53,0.481034
53,0.477610
53,0.481353
53,0.505919
53,0.499306
53,0.503487
53,0.492535
53,0.492798
54,0.490360
54,0.509067
54,0.524366
55,0.538419
54,0.507837
54,0.516894
54,0.526648
54,0.531059
55,0.541945
54,0.449931
55,0.461615
55,0.475015
55,0.463449
55,0.462103
55,0.453031
55,0.477263
55,0.483350
55,0.512411
55,0.502129
54,0.433824
54,0.413718
55,0.409929
55,0.406101
55,0.405592
55,0.406087
54,0.403305
54,0.412127
54,0.413388
54,0.415264
54,0.429110
54,0.452010
53,0.440739
52,0.388765
52,0.397458
51,0.348851
51,0.366070
51,0.394112
51,0.397369
51,0.401073
51,0.407984
52,0.410219
52,0.412846
52,0.448966
52,0.468356
52,0.461789
52,0.443972
52,0.468985
53,0.466352
53,0.481822
53,0.488183
53,0.502859
54,0.507086
54,0.498292
54,0.478698
54,0.457720
54,0.443951
54,0.434959
54,0.446892
53,0.422089
53,0.406822
53,0.406437
53,0.422497
53,0.436748
53,0.447414
53,0.455106
52,0.457186
52,0.471946
52,0.471391
52,0.467649
52,0.483785
52,0.491545
52,0.467319
52,0.472228
52,0.486869
52,0.469955
52,0.488122
51,0.435223
51,0.447046
51,0.453393
51,0.457489
51,0.459914
51,0.464309
51,0.464987
51,0.478587
53,0.478458
53,0.488136
52,0.442884
52,0.446241
52,0.458220
53,0.447236
53,0.465697
53,0.463902
53,0.468479
53,0.461763
53,0.470790
53,0.478583
54,0.492556
55,0.482553
55,0.501865
55,0.496730
55,0.498956
55,0.509430
54,0.478684
55,0.489295
55,0.512696
55,0.519035
55,0.527338
55,0.526926
55,0.538330
57,0.574192
57,0.570485
57,0.589498
57,0.603177
57,0.601562
57,0.613579
57,0.611333
57,0.609688
57,0.594997
57,0.607226
57,0.615863
57,0.621516
57,0.606180
57,0.605965
55,0.550150
54,0.485456
54,0.488851
52,0.448393
52,0.451776
52,0.464853
51,0.426074
51,0.448685
51,0.440687
51,0.435225
50,0.365537
50,0.373919
50,0.369909
50,0.362318
50,0.370048
51,0.377491
51,0.371655
51,0.390097
51,0.416590
51,0.422933
51,0.437886
51,0.435483
51,0.444369
51,0.445403
51,0.463716
51,0.482237
51,0.481958
52,0.471666
53,0.464120
53,0.513407
53,0.514468
53,0.532534
53,0.539031
53,0.573838
51,0.564571
51,0.583790
50,0.594350
50,0.621444
50,0.615443
50,0.619426
50,0.620687
50,0.626467
50,0.612536
50,0.597119
50,0.599771
51,0.591539
52,0.589825
52,0.573844
51,0.548484
51,0.558060
51,0.576024
51,0.573657
51,0.578565
51,0.568021
51,0.561316
51,0.569542
50,0.507439
49,0.486432
49,0.487454
49,0.522521
49,0.551010
49,0.559159
49,0.568319
49,0.579926
49,0.582794
48,0.595535
48,0.619383
48,0.619516
48,0.626176
48,0.643897
48,0.643028
48,0.640686
48,0.643425
48,0.656573
48,0.662905
48,0.662792
48,0.686205
47,0.608114
47,0.653909
47,0.675188
48,0.686043
48,0.703879
48,0.724499
48,0.744137
48,0.751511
48,0.737096
48,0.737734
48,0.763909
48,0.770510
47,0.673576
46,0.640229
46,0.649348
46,0.646826
46,0.668797
45,0.624141
45,0.624112
44,0.637398
44,0.637246
44,0.643714
44,0.641964
44,0.656791
44,0.642250
44,0.653812
44,0.668973
44,0.680355
43,0.592474
43,0.681613
42,0.644590
42,0.616111
42,0.608451
41,0.520135
41,0.585192
41,0.561523
41,0.555713
41,0.571424
41,0.549576
41,0.551264
41,0.553796
41,0.574669
41,0.580578
40,0.544059
40,0.540241
40,0.527550
40,0.521450
41,0.528112
41,0.531456
41,0.534828
41,0.504759
41,0.528749
41,0.543687
42,0.548235
43,0.551276
43,0.534924
43,0.514296
43,0.504133
43,0.512118
43,0.516075
43,0.533088
43,0.540684
43,0.552135
43,0.523627
43,0.513081
42,0.395368
42,0.480021
42,0.476737
42,0.483231
42,0.485001
42,0.474194
42,0.478830
42,0.476623
42,0.490794
42,0.474542
41,0.471392
41,0.458883
41,0.448048
41,0.469990
41,0.478920
41,0.487334
41,0.466205
41,0.466867
41,0.482837
41,0.498194
41,0.508702
41,0.476812
41,0.465577
41,0.467123
41,0.473532
41,0.448025
41,0.477727
41,0.499262
41,0.534209
41,0.530501
42,0.539509
42,0.532631
42,0.530927
42,0.529176
42,0.545307
42,0.534519
42,0.530274
42,0.534967
41,0.491909
41,0.487547
42,0.490059
42,0.485108
42,0.506136
42,0.528321
42,0.498570
42,0.489493
42,0.505223
42,0.516293
